"nid","published","created","changed","URL","Name of Institution","NK Import ID","Index Herbariorum Record","Institutional Code/Acronym","Additional Institution Names","Institutional Discipline","URL for main institutional website","URL for institutional specimen catalog","URL for institutional webservices","Institutional LSID","Cool URI","Status of Institution: Active?","Institutional Governance","Institution Type","Description of Institution","Mailing Address 1","Mailing Address 2","Mailing Address 3","City/Town","State/Province","Postal/Zip Code","Country","Physical Address 1","Physical Address 2","Physical Address 3","City/Town","State/Province","Postal/Zip Code","Country","Latitude","Longitude","Primary Contact","CITES permit number","Date herbarium was founded","Geographic coverage of herbarium","Taxonomic coverage of herbarium","Number of specimens in herbarium"
"4970","Yes","13 May 2013 - 11:48am EDT","8 July 2016 - 11:55am EDT","http://usfsc.grscicoll.org/institution/doinps-grand-canyon-national-park-botany-collection","DOI/NPS, Grand Canyon National Park Botany Collection","B1357","Yes","GCNP","Museum Collection Herbarium",,"www.nps.gov/grca",,,"urn:lsid:biocol.org:col:14934","http://biocol.org/urn:lsid:biocol.org:col:14934","Yes","Public, Federal: General","Herbarium","Updated Oct 2004.  For more information on other collections at this National Park, see this record.","P.O. Box 129",,,"Grand Canyon","Arizona","86023","USA","Museum Collection Research and Storage Facility.",,,"GRAND CANYON","Arizona","86023-0129","USA","36.0395","-112.122","11901",,"1928","All groups of Grand Canyon National Park and adjoining areas.",,"8000"
"5042","Yes","13 May 2013 - 11:49am EDT","8 July 2016 - 11:38am EDT","http://usfsc.grscicoll.org/institution/doinps-grand-teton-national-park-botany-collection","DOI/NPS, Grand Teton National Park Botany Collection","B1429","Yes","GRTE",,,"www.nps.gov/grte",,"https://www-lib.uwyo.edu/digitalherbaria/public",,"http://grbio.org/cool/dfny-9znf","Yes","Public, Federal: General","Herbarium","Entered Dec 2010. The physical collection is available by appointment only. This Grand Teton National Park Virtual Herbarium is maintained by the University of Wyoming Libraries, the UW/NPS Research Center in Grand Teton National Park, and the National Park Service in Grand Teton National Park.  For information on other collections held at this National Park, see this record.","P.O. Drawer 170",,,"Moose","Wyoming","83012","USA",,,,"Moose","Wyoming",,"USA","43.6558","-110.719","22382",,"2009","Plants of the Grand Teton National Park.",,"6700"
"5045","Yes","13 May 2013 - 11:49am EDT","8 July 2016 - 11:58am EDT","http://usfsc.grscicoll.org/institution/doinps-great-smoky-mountains-national-park-botany-collection","DOI/NPS, Great Smoky Mountains National Park Botany Collection","B1432","Yes","GSMNP",,,"www.nps.gov/grsm",,,"urn:lsid:biocol.org:col:13136","http://biocol.org/urn:lsid:biocol.org:col:13136","Yes","Public, Federal: General","Herbarium","For more information on other collections at this National Park, see this record.","Resources Management and Science Division",,,"Gatlinburg","Tennessee","37738","USA","Sugarlands Visitor Center.",,,"GATLINBURG","Tennessee","37738","USA","35.7001","-83.5217","8321",,"1934","Great Smoky Mountains National Park.",,"7700"
"5091","Yes","13 May 2013 - 11:49am EDT","8 July 2016 - 11:41am EDT","http://usfsc.grscicoll.org/institution/doinps-haleakala-national-park-botany-collection","DOI/NPS, Haleakala National Park Botany Collection","B1478","Yes","HALE",,,"www.nps.gov/hale",,"http://www.pacificherbaria.org/cph/HALE",,"http://grbio.org/cool/5a6z-zevm","Yes","Public, Federal: General","Herbarium","Entered Feb 2012. HALE is a member of the Consortium of Pacific Herbaria. Digitization of the herbarium was completed in August 2011.  For more information on other collections at this National Park, see this record.","P.O. Box 369",,,"Makawao","Hawaii","96768","USA","Mile Marker 10.5Haleakala Highway",,,"Kula","Hawaii","96768","USA","20.7603","-156.247","19832",,"2003",,,"2537"
"5390","Yes","13 May 2013 - 11:49am EDT","15 February 2017 - 12:19pm EST","http://usfsc.grscicoll.org/institution/usdafs-pacific-southwest-research-station-critchfield-memorial-herbarium","USDA/FS, Pacific Southwest Research Station, Critchfield Memorial Herbarium","B1777","Yes","IFGP","U.S. Forest Service, Institute of Forest Genetics",,"https://www.fs.fed.us/psw/","https://www.fs.fed.us/psw/topics/forest_genetics/critchfield_herbarium/index.php",,"urn:lsid:biocol.org:col:14932","http://biocol.org/urn:lsid:biocol.org:col:14932","Yes","Public, Federal: General","Herbarium","Updated Feb 2017.. Only the  specimens are currently accessible.","2480 Carson Road",,,"Placerville","California","95667","USA",,,,"PLACERVILLE","California","95667","USA","38.7414","-120.745","23364",,"1925","Emphasis on  and  (Pinaceae).",,"4000"
"5515","Yes","13 May 2013 - 11:49am EDT","8 July 2016 - 11:45am EDT","http://usfsc.grscicoll.org/institution/doinps-joshua-tree-national-park-botany-collection","DOI/NPS, Joshua Tree National Park Botany Collection","B1902","Yes","JOTR",,,"www.nps.gov/jotr",,,,"http://grbio.org/cool/0wxa-qvay","Yes","Public, Federal: General","Herbarium","Entered Aug 2012. The focus of this herbarium is to provide a synoptic collection representing a minimum of 90% of species known to occur in the Park. The collection is mainly used for resource management and educational purposes, however, researchers are encouraged to utilize the specimens as well.  For more information on other collections at this National Park, see this record.","74485 National Park Dr.",,,"Twentynine Palms","California","92277","USA","Joshua Tree National Park HeadquartersNatural Resources Building74485 National Park Drive",,,"Twentynine Palms","California","92277","USA","34.127","-116.037","24642",,"1941","Vascular plant, lichen, and bryophyte specimens from the area within the National Park boundary.",,"3500"
"5602","Yes","13 May 2013 - 11:49am EDT","28 February 2017 - 11:28am EST","http://usfsc.grscicoll.org/institution/usdafs-klamath-national-forest","USDA/FS, Klamath National Forest","B1989","Yes","KNFY","U.S. Forest Service",,"https://www.fs.usda.gov/klamath",,,"urn:lsid:biocol.org:col:14933","http://biocol.org/urn:lsid:biocol.org:col:14933","Yes","Public, Federal: General","Herbarium","The Klamath National Forest encompasses nearly 1.7 million acres of land straddling the California and Oregon border.  The Forest is divided into two sections separated by the Shasta Valley and the I-5 corridor.  In the mountains to the west, the terrain is steep and rugged. The east-side has the relatively gentler, rolling terrain of volcanic origin.  With elevations ranging from 450 to 8,900 feet above sea level, the Klamath National Forest is one of America’s most biologically diverse regions. It is situated in a transitional region between the hotter and drier areas to the south and the colder, wetter climate to the north.","Resources Department","1312 Fairlane Road",,"Yreka","California","96097","USA",,,,"Yreka","California","96097","USA","41.7158","-122.639","13344",,"1975","Northern California; rare and endangered species.",,"1500"
"5824","Yes","13 May 2013 - 11:50am EDT","8 July 2016 - 2:32pm EDT","http://usfsc.grscicoll.org/institution/doinps-lassen-volcanic-national-park-botany-collection","DOI/NPS, Lassen Volcanic National Park Botany Collection","B2211","Yes","LVNP",,,"www.nps.gov/lavo",,,"urn:lsid:biocol.org:col:14957","http://biocol.org/urn:lsid:biocol.org:col:14957","Yes","Public, Federal: General","Herbarium","Updated Mar 2010 (non-functional email address removed).  For more information on other collections at this National Park, see this record.","Division of Interpretation and Cultural Resources","P.O. Box 100, 38050 Highway 36 East",,"Mineral","California","96063","USA",,,,"MINERAL","California","96063-0100","USA","40.3454","-121.612","24642",,"1916","Lassen Volcanic National Park.",,"3000"
"5864","Yes","13 May 2013 - 11:50am EDT","28 February 2017 - 11:29am EST","http://usfsc.grscicoll.org/institution/usdafs-manti-lasal-national-forest","USDA/FS, Manti-LaSal National Forest","B2251","Yes","MALS","U.S Forest Service",,"https://www.fs.usda.gov/mantilasal",,,"urn:lsid:biocol.org:col:15003","http://biocol.org/urn:lsid:biocol.org:col:15003","Yes","Public, Federal: General","Herbarium","The 1,413,111-acre Manti-La Sal National Forest is located in southeastern Utah. It is managed for multiple uses such as range, timber, minerals, water, wildlife, and recreation. The Forest is divided into three land areas: the Manti Division, the La Sal Division at Moab, and the La Sal Division at Monticello.","599 West Price River Drive",,,"Price","Utah","84501","USA",,,,"Price","Utah","84501","USA","39.5995","-110.82","11934",,,"Vascular plants of Wasatch Plateau, LaSal and Abajo mountains, and southern Utah.",,"3200"
"5995","Yes","13 May 2013 - 11:50am EDT","28 February 2017 - 11:30am EST","http://usfsc.grscicoll.org/institution/usdafs-rocky-mountain-research-station-missoula-mt","USDA/FS, Rocky Mountain Research Station - Missoula, MT","B2382","Yes","MRC","U.S Forest Service",,"https://www.fs.fed.us/rmrs/",,,"urn:lsid:biocol.org:col:15019","http://biocol.org/urn:lsid:biocol.org:col:15019","Yes","Public, Federal: General","Herbarium","The Rocky Mountain Research Station (RMRS) develops and delivers scientific knowledge and innovative technologies with a focus on informing policy and land-management decisions. Our researchers work in collaboration with a range of partners, including other agencies, academia, nonprofit groups, and industry. The RMRS serves the Forest Service as well as other federal and state agencies, international organizations, Tribes, academia, non-profit groups and the public.","P.O. Box 8089",,,"Missoula","Montana","59807-8089","USA","800 East Beckwith Avenue, University of Montana Campus",,,"Missoula","Montana","59807-8089","USA","46.9717","-113.965","13162",,"1932","Northern Rocky Mountains; northern Idaho; western Montana and adjacent areas to include all of Northern Region, U.S.D.A. Forest Service.",,"13000"
"6059","Yes","13 May 2013 - 11:50am EDT","11 August 2016 - 12:06pm EDT","http://usfsc.grscicoll.org/institution/usdaars-united-states-national-arboretum","USDA/ARS, United States National Arboretum","B2446","Yes","NA","Herbarium",,"http://www.usna.usda.gov/Research/Herbarium/index.html",,,"urn:lsid:biocol.org:col:15663","http://biocol.org/urn:lsid:biocol.org:col:15663","Yes","Public, Federal: General","Herbarium","Updated Feb 2010.","3501 New York Avenue, N.E.",,,"Washington","District of Columbia",,"USA",,,,"WASHINGTON","District of Columbia","20002-1958","USA","38.9168","-76.9599","23281",,"1934","Worldwide cultivated, landscape, economic, and ethnobotanical plants; cultivated woody plants of southeastern U.S.; cultivated nuts of U.S.; worldwide indigenous, especially woody-progenitors of cultivated plants.",,"600000"
"6070","Yes","13 May 2013 - 11:50am EDT","1 April 2015 - 4:16pm EDT","http://usfsc.grscicoll.org/institution/navajo-nation-department-fish-and-wildlife","Navajo Nation Department of Fish and Wildlife","B2457","Yes","NAVA","Navajo Nation Herbarium",,,,,"urn:lsid:biocol.org:col:15052","http://biocol.org/urn:lsid:biocol.org:col:15052","Yes","Public, Federal: General","Herbarium","Updated Jan 2013.  Navajo Nation Herbarium is owned and curated by the Navajo Tribal Government.  It is housed at Northern Arizona University.","Navajo Natural Heritage Program","Northern Arizona University Biological Sciences DepartmentP.O. Box 5640",,"Flagstaff",,,"USA",,,,,"Arizona","86011-5640","USA","35.1584","-111.67","20027",,"1991","Navajo Nation/Colorado Plateau, especially rare and endemic plants.",,"11300"
"6179","No","13 May 2013 - 11:50am EDT","11 December 2015 - 11:11am EST","http://usfsc.grscicoll.org/institution/national-center-agricultural-utilization-research-usdaars","National Center for Agricultural Utilization Research, USDA/ARS","B2566","Yes","NRRL","ARS Culture Collection",,,,,"urn:lsid:biocol.org:col:13707","http://biocol.org/urn:lsid:biocol.org:col:13707","Yes","Public, Federal: General","Herbarium","Updated Sep 2012.  Non-functional phone and fax numbers removed.","Microbial Genomics and Bioprocessing Research","1815 North University Street",,"Peoria","Illinois",,"USA",,,,"PEORIA","Illinois","61604-3999","USA","40.7086","-89.6131","9638",,"1941","Worldwide microbial flora with emphasis on agriculturally and industrially important species.",,"80000"
"6195","Yes","13 May 2013 - 11:50am EDT","8 November 2016 - 3:57pm EST","http://usfsc.grscicoll.org/institution/us-doe-nevada-operations-office","US DOE, Nevada Operations Office","B2582","Yes","NTS","Herbarium",,,,,"urn:lsid:biocol.org:col:14925","http://biocol.org/urn:lsid:biocol.org:col:14925","No","Public, Federal: General","Herbarium","Updated Oct 2004. Most of NTS transferred to US.","P.O. Box 98518",,,"Las Vegas","Nevada",,"USA","Nevada Test Site, Mercury.",,,"MERCURY","Nevada","89193-8518","USA","36.0858","-115.147","11945",,"1959","Vascular plants of southern Nevada, especially southern Nye County.",,"7787"
"6242","Yes","13 May 2013 - 11:50am EDT","8 July 2016 - 2:39pm EDT","http://usfsc.grscicoll.org/institution/doinps-olympic-national-park-botany-collection","DOI/NPS, Olympic National Park Botany Collection","B2629","Yes","OLYM",,,"www.nps.gov/olym",,,,"http://grbio.org/cool/ncm9-534d","Yes","Public, Federal: General","Herbarium","Entered Feb 2011. It is open to researchers by calling the park curator for appointment.  For more information on other collections at this National Park, see this record.","Cultural Resources","600 East Park Avenue",,"Port Angeles","Washington","98362","USA","600 East Park Avenue",,,"Port Angeles","Washington","98362","USA","48.101","-123.433","24642",,"1942","Specimens from throughout the Olympic Peninsula.",,"25000"
"6392","Yes","13 May 2013 - 11:50am EDT","18 October 2016 - 2:22pm EDT","http://usfsc.grscicoll.org/institution/usdaars-poisonous-plant-research-lab","USDA/ARS, Poisonous Plant Research Lab","B2779","Yes","PPRL","Herbarium",,,,,,"http://grbio.org/cool/aivv-03di","Yes","Public, Federal: General","Herbarium","Entered Aug 2010.","1150 E. 1400 N.",,,"Logan","Utah",,"USA","1150 E. 1400 N.",,,"Logan","Utah","84341","USA","41.7568","-111.806","21850",,"1957","Specializes in plant species that are toxic to herbivores.",,"4200"
"6544","Yes","13 May 2013 - 11:51am EDT","17 November 2016 - 3:29pm EST","http://usfsc.grscicoll.org/institution/usdafs-internationl-institute-tropical-forestry","USDA/FS, Internationl Institute of Tropical Forestry","B2931","Yes","RPPR","U.S. Forest Service",,"http://www.fs.usda.gov/iitf",,,"urn:lsid:biocol.org:col:15361","http://biocol.org/urn:lsid:biocol.org:col:15361","No","Public, Federal: General","Herbarium","RPPR (3000 specimens) transferred to UPR.","USDA Forest Service, IITF","Jardín Botánico Sur, 1201 Calle Ceiba",,"Río Piedras","Puerto Rico","00931","USA",,,,"RÍO PIEDRAS","Puerto Rico","00926-1119","USA","18.3768","-66.0353","22321",,,,,
"6659","Yes","13 May 2013 - 11:51am EDT","28 February 2017 - 11:34am EST","http://usfsc.grscicoll.org/institution/usdafs-southeastern-forest-experiment-station-asheville-nc","USDA/FS, Southeastern Forest Experiment Station - Asheville, NC","B3046","Yes","SEFES","U.S. Forest Service",,"https://www.srs.fs.usda.gov/",,,"urn:lsid:biocol.org:col:14093","http://biocol.org/urn:lsid:biocol.org:col:14093","No","Public, Federal: General","Herbarium","SEFES (3750 specimens) transferred to NY.","13 Veterans Drive",,,"Asheville","North Carolina","28805","USA",,,,"Asheville","North Carolina","28805","USA","35.589","-82.4872","2679",,,,,
"6676","Yes","13 May 2013 - 11:51am EDT","15 February 2017 - 12:15pm EST","http://usfsc.grscicoll.org/institution/usdafs-southern-research-station-southern-forest-range-program","USDA/FS, Southern Research Station, Southern Forest Range Program","B3063","Yes","SFRP","U.S. Forest Service",,"https://www.srs.fs.usda.gov/index.php",,,"urn:lsid:biocol.org:col:15045","http://biocol.org/urn:lsid:biocol.org:col:15045","Yes","Public, Federal: General","Herbarium",,"Kisatchie National Forest","2500 Shreveport Highway",,"Pineville","Louisiana","71360","USA",,,,"PINEVILLE","Louisiana","71360","USA","31.3555","-92.4349","21391",,"1955","Vascular plants, especially Asteraceae, Cyperaceae, and Poaceae of Louisiana and southeastern U.S.",,"6200"
"6817","Yes","13 May 2013 - 11:51am EDT","21 February 2017 - 3:48pm EST","http://usfsc.grscicoll.org/institution/usdafs-rocky-mountain-research-station-shrub-sciences-laboratory","USDA/FS, Rocky Mountain Research Station, Shrub Sciences Laboratory","B3204","Yes","SSLP","U.S. Forest Service, Rocky Mountain Research Station Herbarium, Shrub Sciences Lab","Agricultural Sciences & Natural Resources: Plant Sciences, Other","https://www.fs.fed.us/rmrs/research-labs/provo-shrub-sciences-laboratory",,,"urn:lsid:biocol.org:col:15326","http://biocol.org/urn:lsid:biocol.org:col:15326","Yes","Public, Federal: General","Herbarium","The Provo Shrub Sciences Lab is located in Provo, Utah near the Brigham Young University campus. Our scientists conduct original research and collaborate with researchers and managers from private and public universities and state, federal, and foreign agencies on aspects of shrub and shrubland biology, ecology, and management. Research focus areas are inter-related and address challenges to shrubland conservation and management within the over-arching realities of a changing world.","735 North 500 East",,,"Provo","Utah","84606","USA",,,,,,,,"40.2097","-111.652","22305",,"1975","Intermountain shrubs, especially , and .",,"7000"
