"nid","published","created","changed","URL","Collection Name","NK Import ID","Institution Name","Institutional Code/Acronym","Collection Code","URL for collection","URL for collection's specimen catalog/database","URL for collection's webservices","Collection Description","Collection Content Type","Preservation Type","Accession Status (Yes=Institutional, No=Project)","Mailing Address 1","Mailing Address 2","Mailing Address 3","City/Town","State/Province","Postal/Zip Code","Country","Physical Address 1","Physical Address 2","Physical Address 3","City/Town","State/Province","Postal/Zip Code","Country","Primary Contact","Status of Collection: Active?","LSID"
"24372","Yes","20 July 2015 - 3:00pm EDT","20 July 2015 - 5:13pm EDT","http://usfsc.grscicoll.org/institutional-collection/marine-fish-and-invertebrate-histopathology-collection","Marine Fish and Invertebrate Histopathology Collection",,"24366",,"MHC",,,,"Histopathology Microslides and Paraffin Blocks  The EPA histopathology microslide collection contains over four decades of fish and invertebrate tissue samples representing most groups of marine species. The slides span years 1967 through present, and paraffin tissues blocks from 1980. Slides of over 81,400 animals comprise both reference and affected marine animals, including 381 cases of disease in marine animals that have been accepted into the Registry of Tumors in Lower Animals (RTLA). These were first described in the animals within the collection dating from 1967-1997. Samples were obtained from field collection, toxicology experiments, and referred pathology and disease cases from around the world. This collection represents historical progression and records of the state of marine animal health, which aids studies that predict risk to marine populations into the future.","Biological: Preserved organisms, their parts & products","Sample Treatment: Slide mount","Yes","US Environmental Protection Agency","Atlantic Ecology Division, National Health and Environmental Effects Research Laboratory","27 Tarwell Drive","Narragansett","RI","02882","USA",,,,,,,,"24356","Yes",
"24380","Yes","23 July 2015 - 2:01pm EDT","23 July 2015 - 2:49pm EDT","http://usfsc.grscicoll.org/institutional-collection/great-lakes-human-health-fish-tissue-study","Great Lakes Human Health Fish Tissue Study",,"24366",,"GLHHFTS",,,,"2010 Great Lakes Human Health Fish Tissue Study  The Great Lakes Human Health Fish Tissue Study was initiated in 2010 under the Agency&rsquo;s National Coastal Condition Assessment (NCCA), and it is the first statistically based study of fish contamination in the Great Lakes Study. Fish samples were collected from 157 randomly selected sites throughout the five Great Lakes, and fillet tissue samples were analyzed for mercury, polychlorinated biphenyls (PCBs), polybrominated diphenyl ethers (PBDEs), and perfluorinated compounds (PFCs). The fillet samples were also analyzed for omega-3 fatty acids. Results for PFCs were published in 2014. Other results are expected to be reported in 2016. The archive contains 325 jars of fish fillet tissue samples.","Biological: Cells, tissue (non-human)","Storage Environment: Frozen (-20)","Yes","US Environmental Protection Agency","Office of Science and Technology, Ofice of Water, Mail Code 4305T","1200 Pennsylvania Avenue, N.W.","Washington","DC","20460","USA",,,,,,,,"24379","Yes",
"24381","Yes","23 July 2015 - 3:19pm EDT","23 July 2015 - 3:30pm EDT","http://usfsc.grscicoll.org/institutional-collection/national-rivers-and-streams-assessment-fish-tissue-study","National Rivers and Streams Assessment Fish Tissue Study",,"24366",,"NRSAFTS",,,,"2013&ndash;14 National Rivers and Streams Assessment Fish Tissue Study  The 2013-14 National Rivers and Streams Assessment (NRSA) included a national study of contaminants in the fillet tissue of fish collected from 361 randomly selected sampling locations in the Nation&rsquo;s rivers. Fillet samples are being analyzed for mercury, polychlorinated biphenyls (PCBs), and perfluorinated compounds (PFCs). EPA anticipates having fish tissue results available to report during 2017. The archived tissue collection is under development through the end of 2015.","Biological: Cells, tissue (non-human)","Storage Environment: Frozen (-20)","Yes","US Environmental Protection Agency","Office of Science and Technology, Office of Waeter, Mail Code 8105R","1200 Pennsylvania Avenue, N.W.","Washington","DC","20460","USA",,,,,,,,"24379","Yes",
"24383","Yes","29 July 2015 - 1:33pm EDT","29 July 2015 - 2:45pm EDT","http://usfsc.grscicoll.org/institutional-collection/freshwater-genetic-biodiversity-collection","Freshwater Genetic Biodiversity Collection",,"24366",,"FGBC","http://www.epa.gov/eerd",,,"Freshwater Genetic Biodiveristy Collection  EPA&#39;s Freshwater Genetic Biodiversity Collection contains various freshwater (lakes, rivers, and streams) benthos samples from around the United States. The bulk of this material is used in DNA barcoding and/or other genetics/genomics research (e.g., using genetic diversity as an indicator of ecosystem condition and sustainability). DNA extracts are maintained long term, however, the originating physical specimen is only maintained for several years until analysis is completed. Samples then become available for transfer to other institutions willing to infer ownership and responsibility of the samples.","Biological: Preserved organisms, their parts & products","Sample Treatment: Fluid preserved","Yes","US Environmental Protection Agency","Ecological Exposure Research Division, National Exposure Research Laboratory","26 W. Martin Luther King Drive","Cincinnati","OH","25268","USA",,,,,,,,"24382","Yes",
"24493","Yes","25 February 2016 - 9:15am EST","2 August 2016 - 3:40pm EDT","http://usfsc.grscicoll.org/institutional-collection/department-mineral-sciences","Department of Mineral Sciences",,"3037",,"MS","http://mineralsciences.si.edu/collections.htm","http://collections.nmnh.si.edu/search/ms/",,,,"Storage Environment: Ambient controlled (indoors)","Yes","1000 Constitution Ave NW","MRC 119",,"Washington","DC","20560","USA",,,,,,,,"24492","Yes",
"24592","Yes","11 April 2016 - 12:36pm EDT","13 April 2016 - 12:28pm EDT","http://usfsc.grscicoll.org/institutional-collection/cfsan-herbarium","CFSAN-Herbarium",,"16358",,"CFSAN-Herbarium",,,,"The CFSAN-Herbarium is the depository for dried plants (either pressed or whole or plant fruiting bodies) or mushrooms used as foods, dietary supplements, or sources of plant derived medicines that the FDA has used as authentic samples in regulatory cases and for research. These samples have been collected and used by the Agency over the past 110 years. The FDA Herbarium/Collections Laboratory receives specimens from a wide variety of sources: purchase, trade, or collection by FDA personnel. Many represent the plant material as sold in commerce. These specimens are the Agency&rsquo;s primary reference materials for the identification of plant materials.","Biological: Preserved organisms, their parts & products","Sample Treatment: Dried","Yes","5100 Paint Branch Pkwy","HFS-316",,"College Park","MD","20740","USA",,,,,,,,"24591","Yes",
"25026","Yes","20 July 2016 - 10:32am EDT","8 September 2016 - 4:50pm EDT","http://usfsc.grscicoll.org/institutional-collection/bacillus-environmental-collection","Bacillus Environmental Collection",,"25012",,"IBL",,,,"Collection contains approximately 40,000 environmental Bacillus samples, approximately 4,000 of which have been characterized for biological features or biopesticidal activity to some degree.","Biological: Living organisms","Storage Environment: Other (please define)","No","USDA/ARS, Invasive Insect Biocontrol and Behavior Laboratory","Room. 301, Bldg. 007, BARC-WEST","10300 Baltimore Avenue","Beltsville","Maryland","20705","USA",,,,,,,,"24994","Yes",
"25027","Yes","20 July 2016 - 10:45am EDT","12 September 2016 - 4:40pm EDT","http://usfsc.grscicoll.org/institutional-collection/usda-nematode-collection","USDA Nematode Collection",,"25013",,"USDANC","http://www.ars.usda.gov/pandp/docs.htm?docid=9944","http://nt.ars-grin.gov/nematodes/search.cfm",,"One of the largest and most valuable nematode collections in existence.  	  		Over 49,000 permanent slides and vials, with a total repository of nematode specimens reaching several million.  	  		Including Cobb-Steiner, Thorne, and other valuable collections.  	  		Nematodes from world-wide sources.       Secondary contact:  Dr. David Chitwood  Research Leader  Phone: (301) 504-8634  Email: david.chitwood@ars.usda.gov","Biological: Preserved organisms, their parts & products","Sample Treatment: Fluid preserved","Yes","USDA/ARS, Nematology Laboratory","Room. 111, Bldg. 010A, BARC-WEST","10300 Baltimore Avenue","Beltsville","Maryland","20705","USA",,,,,,,,"25015","Yes",
"25035","Yes","22 July 2016 - 11:09am EDT","22 March 2017 - 11:06am EDT","http://usfsc.grscicoll.org/institutional-collection/ars-culture-collection","ARS Culture Collection",,"25032",,"NRRL","https://nrrl.ncaur.usda.gov/","https://nrrl.ncaur.usda.gov/database.html",,"The ARS Culture Collection is one of the largest public collections of microorganisms in the world, containing approximately 98,000 strains of bacteria and fungi. The collection is housed within the  Mycotoxin Prevention and Applied Microbiology Research Unit at the National Center for Agricultural Utilization Research in Peoria, Illinois. The scientists and staff of the ARS Culture Collection conduct and facilitate microbiological research that advances agricultural production, food safety, public health, and economic development. These goals are pursued through in-house research that improves understanding and utilization of microbiological diversity and through efforts to enhance the value and accessibility of microbial accessions in the Agricultural Research Service Culture Collection.","Biological: Cells, tissue (non-human)","Sample Treatment: Cryopreserved","Yes","USDA/ARS, Mycotoxin Prevention and Applied Microbiology Research Unit","National Center for Agricultural Utilization Research","1815 N. University Street","Peoria","Illinois","61604","USA",,,,,,,,"25034","Yes",
"25036","Yes","22 July 2016 - 11:24am EDT","26 September 2016 - 2:21pm EDT","http://usfsc.grscicoll.org/institutional-collection/ars-collection-entomopathogenic-fungal-cultures","ARS Collection of Entomopathogenic Fungal Cultures",,"25033",,"ARSEF","http://www.ars.usda.gov/News/docs.htm?docid=12125","http://www.ars.usda.gov/Main/docs.htm?docid=12125&page=2",,"This collection is the world&#39;s largest, most kaleidoscopic, and more comprehensive collection of living cultures of fungi that are pathogenic to or associated with insects, spiders, mites, ticks, and other invertebrates. Some isolates in the collection are not themselves invertebrate pathogens but are critically important for the improvements of taxonomies and systematics for the many diverse groups of fungi represented here. As of July 2016, ARSEF maintains more than 13000 isolates of more than 700 taxa of fungi isolated from 1300 hosts collected at more than 2400 locations on every continent.","Biological: Living organisms","Sample Treatment: Cryopreserved","Yes","USDA/ARS, Emerging Pests and Pathogens Research Unit","Robert W. Holley Center for Agriculture & Health","538 Tower Rd.","Ithaca","New York","14853-2901","USA",,,,,,,,"14508","Yes",
"25039","Yes","25 July 2016 - 4:23pm EDT","10 August 2016 - 1:21pm EDT","http://usfsc.grscicoll.org/institutional-collection/usda-ars-national-rhizobium-germplasm-resource-collection","USDA-ARS National Rhizobium Germplasm Resource Collection",,"25011",,"BRCC","http://www.ars.usda.gov/research/projects/projects.htm?accn_no=424538","http://www.ars-grin.gov/nmg/",,"The USDA has curated a collection of rhizobia for over 100 years. What began as a handful of isolates from the Arlington Farm, now the site upon which the Pentagon resides, has grown to over 5,000 accessions for over 450 legume species. An additional 5,000 strains from orphaned collections, from research, and from in-house culturing are to be incorporated. The collection is internationally recognized, and supports research in domestic and international Universities, and is also a resource for non-profits and commercial enterprises world-wide. Accessions are characterized by DNA sequencing and from results of greenhouse and field tests, and are stored at -20 C, as lyophilized, or freeze-dried cultures.","Biological: Living organisms","Sample Treatment: Dried","Yes","USDA/ARS, Soybean Genomics and Improvement Laboratory","Bldg. 006, Rm. 118, BARC-WEST","10300 Baltimore Ave.","Beltsville","Maryland","20705","USA",,,,,,,,"25123","Yes",
"25054","Yes","26 July 2016 - 10:44am EDT","26 September 2016 - 2:18pm EDT","http://usfsc.grscicoll.org/institutional-collection/mycology-culture-collection","Mycology Culture Collection",,"25060",,"MCC","https://www.ars.usda.gov/main/site_main.htm?modecode=80-42-05-75","http://nt.ars-grin.gov/fungaldatabases",,"This is a research collection of fungal isolates collected over 40 years by various scientists associated with the mycology laboratory under various names and with various collection codes. It is an internal resource and are generally not distributed.","Biological: Preserved organisms, their parts & products","Storage Environment: Frozen (-80)","No","USDA/ARS, Systematic Mycology and Microbiology Laboratory","Bldg. 010A, Rm. 225, BARC-WEST","10300 Baltimore Ave.","Beltsville","Maryland","20705","USA",,,,,,,,"18817","Yes",
"25056","Yes","26 July 2016 - 7:14pm EDT","8 August 2016 - 5:19pm EDT","http://usfsc.grscicoll.org/institutional-collection/beltsville-collection-microbivorous-nematodes","Beltsville Collection of Microbivorous Nematodes",,"25013",,"BCMN",,,,"A collection of 50 nematode species managed by one scientist and one support scientist.  This relatively small collection is used for research on microbivorous nematodes, which play an important role in agricultural ecosystems.","Biological: Living organisms",,"No","USDA/ARS, Nematology Laboratory","10300 Baltimore Ave.",,"Beltsville","Maryland","20705","USA",,,,,,,,"25055","Yes",
